2026-01-07T11:59:20.500Z, d48c49fa8cc0, 3.99v - 77%, 0.7719762
2026-01-07T12:01:20.157Z, d48c49fa8cc0, 3.95v - 72%, 0.7234344
2026-01-07T14:00:00.709Z, d48c49fa8cc0, 3.95v - 72%, 0.7214929
2026-01-08T06:48:08.012Z, d48c49fa8cc0, 3.97v - 74%, 0.7389677
2026-01-08T07:01:19.797Z, d48c49fa8cc0, 3.96v - 73%, 0.7312011
2026-01-08T11:59:14.377Z, d48c49fa8cc0, 3.96v - 73%, 0.7292595
2026-01-08T12:01:19.965Z, d48c49fa8cc0, 3.97v - 75%, 0.7486761
2026-01-08T14:00:09.685Z, d48c49fa8cc0, 3.98v - 76%, 0.7564426
2026-01-09T06:48:22.321Z, d48c49fa8cc0, 3.97v - 75%, 0.7467345
2026-01-09T07:01:14.796Z, d48c49fa8cc0, 3.97v - 75%, 0.7467345
2026-01-09T11:58:55.593Z, d48c49fa8cc0, 3.95v - 72%, 0.7214929
2026-01-09T12:01:19.776Z, d48c49fa8cc0, 3.95v - 72%, 0.7234344
2026-01-09T13:59:44.122Z, d48c49fa8cc0, 3.97v - 75%, 0.7467345
2026-01-09T14:01:28.181Z, d48c49fa8cc0, 3.95v - 73%, 0.7273177
2026-01-12T06:15:46.135Z, d48c49fa8cc0, 4.00v - 78%, 0.7778013
2026-01-12T07:01:41.150Z, d48c49fa8cc0, 3.97v - 74%, 0.7428512
2026-01-12T11:58:21.111Z, d48c49fa8cc0, 3.98v - 75%, 0.7545012
2026-01-12T12:01:20.265Z, d48c49fa8cc0, 3.98v - 76%, 0.760326
2026-01-12T14:00:15.452Z, d48c49fa8cc0, 3.98v - 76%, 0.760326
2026-01-13T06:51:25.770Z, d48c49fa8cc0, 3.99v - 77%, 0.7700344
2026-01-13T07:01:21.828Z, d48c49fa8cc0, 3.98v - 76%, 0.760326
2026-01-13T11:58:11.421Z, d48c49fa8cc0, 3.98v - 75%, 0.7545012
2026-01-13T12:01:19.627Z, d48c49fa8cc0, 3.97v - 75%, 0.7486761
2026-01-13T14:00:12.993Z, d48c49fa8cc0, 3.97v - 75%, 0.7486761
2026-01-14T06:50:53.592Z, d48c49fa8cc0, 3.99v - 77%, 0.7700344
2026-01-14T07:01:15.952Z, d48c49fa8cc0, 3.99v - 77%, 0.7700344
2026-01-14T11:58:36.865Z, d48c49fa8cc0, 3.96v - 73%, 0.7312011
2026-01-14T12:01:25.584Z, d48c49fa8cc0, 3.98v - 76%, 0.7583845
2026-01-14T13:59:42.981Z, d48c49fa8cc0, 3.96v - 74%, 0.7370261
2026-01-14T14:01:21.078Z, d48c49fa8cc0, 3.97v - 75%, 0.7486761
2026-01-15T06:47:54.485Z, d48c49fa8cc0, 3.95v - 72%, 0.7214929
2026-01-15T07:01:16.214Z, d48c49fa8cc0, 3.98v - 76%, 0.760326
2026-01-15T11:58:52.656Z, d48c49fa8cc0, 3.95v - 72%, 0.7176096
2026-01-15T12:01:20.292Z, d48c49fa8cc0, 3.94v - 71%, 0.7098427
2026-01-15T14:00:14.860Z, d48c49fa8cc0, 3.96v - 73%, 0.7331428
2026-01-16T06:50:20.439Z, d48c49fa8cc0, 3.93v - 70%, 0.7040179
2026-01-16T07:01:15.201Z, d48c49fa8cc0, 3.99v - 77%, 0.766151
